"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"177","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00739999999999998,NA,1000
"178","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00715999999999999,NA,1000
"179","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00671428571428573,NA,1000
"180","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00692000000000004,NA,1000
"181","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00718333333333339,NA,1000
"182","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00694666666666673,NA,1000
"183","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0072,NA,1000
"184","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00646666666666665,NA,1000
"185","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00691999999999999,NA,1000
"186","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00674285714285716,NA,1000
"187","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00654000000000004,NA,1000
"188","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00646666666666671,NA,1000
"189","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00673333333333339,NA,1000
"190","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.006,NA,1000
"191","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00686666666666665,NA,1000
"192","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00707999999999999,NA,1000
"193","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00685714285714288,NA,1000
"194","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00670000000000004,NA,1000
"195","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00661666666666672,NA,1000
"196","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00641333333333339,NA,1000
"197","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0072,NA,1000
"198","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00646666666666665,NA,1000
"199","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00732,NA,1000
"200","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00728571428571431,NA,1000
