P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
1,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.52822550979608152,0.021796319980767635,0.042079859042254794,0.04781801745846978,0.0733815246736923,0.05789489340535775,10
12,21,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.10334746101559375,0.054619836608556356,0.059201562543405535,0.071128416401483582,0.082784634347383285,0.11298805000477606,25
9,17,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.33824070371851267,0.037548436173344739,0.058794379725409476,0.066634559819951561,0.082685743990597999,0.09945639907155536,25
8,16,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.57486445421831267,0.033631822215193924,0.058512051519396792,0.066302839063844779,0.084907014908987111,0.097460302122835712,25
34,29,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.10400799680127949,0.050244227755839491,0.069661362914204703,0.075391548531893379,0.082630033522130428,0.14815183965784731,100
34,29,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.31508836465413831,0.044039309724243546,0.072645080270110726,0.072027318057768991,0.08428133905290805,0.1545625666423642,100
34,29,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.52499320271891237,0.042533954276390493,0.073406654820313916,0.069137343570458212,0.083893108975831049,0.15276481173686424,100
4,9,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.11807756897241103,0.041584217083768658,0.051166405934105763,0.087989952593255441,0.095536730658200772,0.10894674542864144,10
1,4,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMax,0.37536985205917633,0.025878274003221364,0.045279378427484647,0.083404302405424152,0.096153369326954327,0.10337941098694231,10
1,3,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.6478400639744103,0.017744230605360251,0.038900668575931038,0.082310275029944896,0.096297828234080562,0.096385938822286882,10
17,21,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.1104406237504998,0.0476037547669102,0.060038898364071003,0.088596123865793172,0.094825754861235872,0.12756936341701677,25
10,15,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMax,0.35165453818472614,0.036902341453772573,0.062181505974295483,0.088821155427879994,0.096306758376890469,0.11812094369066721,25
